Наименование,Цена,Ссылка на изображение,Краткое описание
"
        BMW R 1150 RS
              ","
$ 4 800
                                                             
                                                                                   422 016 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/f/8/5f8838dcf87bebd3fc83b3e645854160_240x180.jpg,        мотоцикл                    
"
        Kawasaki Ninja H2
              ","
$ 3 100
                                                             
                                                                                   272 552 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/0/2/a02aa81687b8948b513237913a9801cf_240x180.jpg,        мотоцикл                    
"
        Kawasaki Ninja ZX-6R
              ","
$ 3 100
                                                             
                                                                                   272 552 сом
                                                                      ",,        мотоцикл                    
"
        Китай (NoName) ATV 110
              ","
$ 1 100
                                                             
                                                                                   96 712 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/3/0/030111d72cdb0886e312f53986a8e8cf_240x180.jpg,        мотовездеход                    
"
        Honda CB 250
              ","
$ 3 500
                                                             
                                                                                   307 720 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/1/0/4108bbec52d46b2b6d24bbd5ef119e57_240x180.jpg,        мотоцикл                    
"
        Zongshen CQR-250
              ","
$ 1 500
                                                             
                                                                                   131 880 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/5/c/35c2df5c89864aaad4930d66d515ece9_240x180.jpg,        мотоцикл                    
"
        Китай (NoName) 1P72MN (LH173MN)
              ","
$ 2 047
                                                             
                                                                                   180 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/a/5/0a5f11708e1f4bdceac94479795a40ad_240x180.jpg,        мотоцикл                    
"
        Honda XL
              ","
$ 9 570
                                                             
                                                                                   841 394 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/9/6/896b6f665259aeda3a981327ab93eb5d_240x180.jpg,        мотоцикл                    
"
        Kawasaki Z 1000
              ","
$ 7 100
                                                             
                                                                                   624 232 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/9/e/39ef0b6e5e2d1aab9d6d513fb97f16ac_240x180.jpg,        мотоцикл                    
"
        Honda CBR 1000
              ","
$ 18 500
                                                             
                                                                                   1 626 520 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/1/5/115d18a2ac7570f14e5728cfb60dcd72_240x180.jpg,        мотоцикл                    
"
        Kawasaki Ninja
              ","
$ 6 250
                                                             
                                                                                   549 500 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/8/2/18259d6e93554f36b395c4aca7954354_240x180.jpg,        мотоцикл                    
"
        Honda Dio
              ","
$ 466
                                                             
                                                                                   41 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/3/c/e3c75e7c509bea0e7df4b45b6f7e04fe_240x180.jpg,        скутер                    
"
        Kawasaki Z 900
              ","
$ 15 000
                                                             
                                                                                   1 318 800 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/e/9/ce901beaf3819930e302c56c20aa1993_240x180.jpg,        мотоцикл                    
"
        Kawasaki Z 900
              ","
$ 11 000
                                                             
                                                                                   967 120 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/d/a/7da1a2c0af681591f3876e03cc60ef67_240x180.jpg,        мотоцикл                    
"
        Yamaha YZF-R6
              ","
$ 5 000
                                                             
                                                                                   439 600 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/a/0/aa03b9e02d97e3c92ded2c02df1f1d73_240x180.jpg,        мотоцикл                    
"
        Урал M 72
              ","
$ 341
                                                             
                                                                                   30 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/e/2/4e2e319eb524c8353b45d72b7cff4880_240x180.jpg,        мотоцикл                    
"
        Honda CBR 600
              ","
$ 4 800
                                                             
                                                                                   422 016 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/c/4/2c43dd0ea33917baf0caee6b3436a2d1_240x180.jpg,        мотоцикл                    
"
        Yamaha Majesty
              ","
$ 1 194
                                                             
                                                                                   105 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/d/a/4daca745876138271558d03271e9aaae_240x180.jpg,        скутер                    
"
        Honda CB 250
              ","
$ 2 502
                                                             
                                                                                   220 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/e/e/7ee5979b43410614532e7f0255f31257_240x180.jpg,        мотоцикл                    
"
        Yamaha YZF 1000 R1
              ","
$ 5 000
                                                             
                                                                                   439 600 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/4/a/84a95766e4109632a745352bbd3ce268_240x180.jpg,        мотоцикл                    
"
        Honda CTX
              ","
$ 8 500
                                                             
                                                                                   747 320 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/e/2/ae2df92a9b9fe2dfb6457f8baeda707c_240x180.jpg,        мотоцикл                    
